transaction_date,customer_id,sale_product_description,stock_code,invoice_no,quantity,sale,unit_price
2020-12-01 08:26:00,17850,Dog and Puppy Pads,85123,536365,1,15.3,15.3
2020-12-01 08:34:00,13047,Pet Odor Eliminator,84879,536367,6,60.84,10.14
2020-12-01 08:34:00,13047,Rechargeable Pet Nail Grinder,22960,536368,1,25.5,25.5
2020-12-01 09:02:00,17850,Dog and Puppy Pads,85123,536373,1,15.3,15.3
2020-12-01 09:32:00,15291,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536376,8,165.6,20.7
2020-12-01 09:32:00,17850,Dog and Puppy Pads,85123,536375,1,15.3,15.3
2020-12-01 09:37:00,14688,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536378,2,23.4,11.7
2020-12-01 09:37:00,14688,Pet Grooming Brush,20725,536378,2,19.8,9.9
2020-12-01 09:41:00,15311,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536381,1,17.7,17.7
2020-12-01 09:53:00,18074,NexGard Chew for Dogs,82484,536384,1,38.7,38.7
2020-12-01 09:56:00,17420,Rechargeable Pet Nail Grinder,22960,536385,1,25.5,25.5
2020-12-01 09:57:00,16029,Earth Rated Dog Poop Bags,85099,536386,17,168.3,9.9
2020-12-01 09:58:00,16029,ProBiotic Supplements for Dogs,79321,536387,32,733.44,22.92
2020-12-01 10:19:00,17511,Dog and Puppy Pads,85123,536390,11,168.3,15.3
2020-12-01 10:19:00,17511,Earth Rated Dog Poop Bags,85099,536390,17,168.3,9.9
2020-12-01 10:19:00,17511,Rechargeable Pet Nail Grinder,22960,536390,2,45.0,22.5
2020-12-01 10:19:00,17511,Sheba Perfect Portions Pat Wet Cat Food,22197,536390,17,73.44,4.32
2020-12-01 10:29:00,13705,Indoor Pet Camera (Wi-Fi),22502,536392,1,35.7,35.7
2020-12-01 10:29:00,13705,Pet Odor Eliminator,84879,536392,3,30.42,10.14
2020-12-01 10:47:00,13767,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536395,2,47.4,23.7
2020-12-01 10:47:00,13767,Pet Odor Eliminator,84879,536395,6,60.84,10.14
2020-12-01 10:51:00,17850,Dog and Puppy Pads,85123,536396,1,15.3,15.3
2020-12-01 10:52:00,13448,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536398,1,23.7,23.7
2020-12-01 11:21:00,15862,Dog and Puppy Pads,85123,536401,1,17.7,17.7
2020-12-01 11:21:00,15862,Indoor Pet Camera (Wi-Fi),22502,536401,1,35.7,35.7
