,transaction_date,customer_id,description,stock_code,invoice_no,quantity,sales,unit_price
0,12/1/2020 8:26,17850.0,Dog and Puppy Pads,85123A,536365,1,15.3,15.3
1,12/1/2020 8:34,13047.0,Pet Odor Eliminator,84879,536367,6,60.84,10.14
2,12/1/2020 8:34,13047.0,Rechargeable Pet Nail Grinder,22960,536368,1,25.5,25.5
3,12/1/2020 9:00,13748.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536371,14,214.2,15.3
4,12/1/2020 9:02,17850.0,Dog and Puppy Pads,85123A,536373,1,15.3,15.3
5,12/1/2020 9:32,15291.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536376,8,165.6,20.7
6,12/1/2020 9:32,17850.0,Dog and Puppy Pads,85123A,536375,1,15.3,15.3
7,12/1/2020 9:37,14688.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536378,2,23.4,11.7
8,12/1/2020 9:37,14688.0,Pet Grooming Brush,20725,536378,2,19.8,9.9
9,12/1/2020 9:41,15311.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536381,1,17.7,17.7
10,12/1/2020 9:53,18074.0,NexGard Chew for Dogs,82484,536384,1,38.7,38.7
11,12/1/2020 9:56,17420.0,Rechargeable Pet Nail Grinder,22960,536385,1,25.5,25.5
12,12/1/2020 9:57,16029.0,Earth Rated Dog Poop Bags,85099B,536386,17,168.3,9.9
13,12/1/2020 9:58,16029.0,ProBiotic Supplements for Dogs,79321,536387,32,733.44,22.92
14,12/1/2020 10:19,17511.0,Dog and Puppy Pads,85123A,536390,11,168.3,15.3
15,12/1/2020 10:19,17511.0,Earth Rated Dog Poop Bags,85099B,536390,17,168.3,9.9
16,12/1/2020 10:19,17511.0,Rechargeable Pet Nail Grinder,22960,536390,2,45.0,22.5
17,12/1/2020 10:19,17511.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536390,17,73.44,4.32
18,12/1/2020 10:29,13705.0,Indoor Pet Camera (Wi-Fi),22502,536392,1,35.7,35.7
19,12/1/2020 10:29,13705.0,Pet Odor Eliminator,84879,536392,3,30.42,10.14
20,12/1/2020 10:39,13408.0,Dog and Puppy Pads,85123A,536394,6,91.8,15.3
21,12/1/2020 10:47,13767.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536395,2,47.4,23.7
22,12/1/2020 10:47,13767.0,Pet Odor Eliminator,84879,536395,6,60.84,10.14
23,12/1/2020 10:51,17850.0,Dog and Puppy Pads,85123A,536396,1,15.3,15.3
24,12/1/2020 10:52,13448.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536398,1,23.7,23.7
25,12/1/2020 11:21,15862.0,Dog and Puppy Pads,85123A,536401,1,17.7,17.7
26,12/1/2020 11:21,15862.0,Indoor Pet Camera (Wi-Fi),22502,536401,1,35.7,35.7
27,12/1/2020 11:21,15862.0,Pet Grooming Brush,20725,536401,1,9.9,9.9
28,12/1/2020 11:22,15513.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536402,7,107.1,15.3
29,12/1/2020 11:29,16218.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536404,6,30.6,5.1
30,12/1/2020 11:33,17850.0,Dog and Puppy Pads,85123A,536406,2,30.6,15.3
31,12/1/2020 11:41,14307.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536408,1,23.7,23.7
32,12/1/2020 11:41,14307.0,Pet Odor Eliminator,84879,536408,2,20.28,10.14
33,12/1/2020 11:45,17908.0,Earth Rated Dog Poop Bags,85099B,536409,1,11.7,11.7
34,12/1/2020 11:45,17908.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536409,1,5.1,5.1
35,12/1/2020 11:49,17920.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536412,1,17.7,17.7
36,12/1/2020 11:49,17920.0,Pet Grooming Brush,20725,536412,1,9.9,9.9
37,12/1/2020 11:49,17920.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536412,1,5.1,5.1
38,12/1/2020 11:57,12838.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536415,1,17.7,17.7
39,12/1/2020 12:08,13758.0,ProBiotic Supplements for Dogs,79321,536425,2,59.4,29.7
40,12/1/2020 12:22,14849.0,Pet Odor Eliminator,84879,536460,4,40.56,10.14
41,12/1/2020 12:23,14849.0,Rechargeable Pet Nail Grinder,22960,536466,1,25.5,25.5
42,12/1/2020 12:23,17968.0,Earth Rated Dog Poop Bags,85099B,536464,1,11.7,11.7
43,12/1/2020 12:23,17968.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536464,1,17.7,17.7
44,12/1/2020 12:23,17968.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536464,1,11.7,11.7
45,12/1/2020 12:23,17968.0,Pet Odor Eliminator,84879,536464,2,20.28,10.14
46,12/1/2020 12:23,17968.0,Rechargeable Pet Nail Grinder,22960,536464,1,25.5,25.5
47,12/1/2020 12:23,17968.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536464,1,5.1,5.1
48,12/1/2020 12:27,16210.0,Canned Cat Food,21137,536477,80,1627.2,20.34
49,12/1/2020 12:27,16210.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536477,3,197.1,65.7
